30.548,-121.88
30.558,-121.89
30.568,-121.91
30.578,-121.92
30.588,-121.94
30.598,-121.95
30.608,-121.97
30.618,-121.99
30.629,-122
30.639,-122.02
30.65,-122.03
30.66,-122.05
30.671,-122.06
30.681,-122.08
30.688,-122.08
30.695,-122.1
30.706,-122.11
30.717,-122.13
30.728,-122.14
30.738,-122.15
30.749,-122.17
30.76,-122.18
30.771,-122.2
30.782,-122.21
30.794,-122.23
30.796,-122.23
30.801,-122.24
30.812,-122.25
30.823,-122.27
30.834,-122.28
30.845,-122.29
30.857,-122.31
30.868,-122.32
30.879,-122.34
30.891,-122.35
30.903,-122.36
30.914,-122.38
30.926,-122.39
30.938,-122.41
30.949,-122.42
30.961,-122.43
30.973,-122.45
30.985,-122.46
30.997,-122.47
31.009,-122.49
31.021,-122.5
31.034,-122.51
31.044,-122.52
31.047,-122.53
31.059,-122.54
31.071,-122.56
31.083,-122.57
31.095,-122.58
31.107,-122.6
31.119,-122.61
31.131,-122.62
31.144,-122.63
31.156,-122.65
31.169,-122.66
31.181,-122.67
31.194,-122.69
31.206,-122.7
31.219,-122.71
31.231,-122.72
31.244,-122.74
31.257,-122.75
31.27,-122.76
31.283,-122.77
31.296,-122.79
31.309,-122.8
31.322,-122.81
31.335,-122.82
31.348,-122.84
31.361,-122.85
31.374,-122.86
31.376,-122.86
31.384,-122.87
31.393,-122.88
31.403,-122.9
31.413,-122.91
31.423,-122.93
31.434,-122.94
31.444,-122.96
31.455,-122.97
31.465,-122.99
31.476,-123
31.486,-123.02
31.497,-123.03
31.508,-123.05
31.519,-123.06
31.53,-123.08
31.541,-123.09
31.552,-123.11
31.563,-123.12
31.574,-123.14
31.585,-123.15
31.596,-123.16
31.608,-123.18
31.619,-123.19
31.63,-123.21
31.642,-123.22
31.653,-123.24
31.665,-123.25
31.677,-123.26
31.688,-123.28
31.7,-123.29
31.712,-123.31
31.724,-123.32
31.736,-123.33
31.748,-123.35
31.76,-123.36
31.772,-123.37
31.784,-123.39
31.797,-123.4
31.809,-123.41
31.821,-123.43
31.834,-123.44
31.846,-123.45
31.859,-123.47
31.871,-123.48
31.884,-123.49
31.896,-123.5
31.909,-123.52
31.922,-123.53
31.935,-123.54
31.948,-123.55
31.961,-123.57
31.974,-123.58
31.987,-123.59
32,-123.6
32.013,-123.62
32.017,-123.62
32.022,-123.62
32.035,-123.64
32.048,-123.65
32.061,-123.66
32.074,-123.67
32.087,-123.68
32.1,-123.7
32.113,-123.71
32.127,-123.72
32.14,-123.73
32.153,-123.74
32.167,-123.76
32.18,-123.77
32.194,-123.78
32.207,-123.79
32.221,-123.8
32.235,-123.81
32.248,-123.82
32.262,-123.84
32.276,-123.85
32.29,-123.86
32.304,-123.87
32.318,-123.88
32.332,-123.89
32.346,-123.9
32.36,-123.91
32.374,-123.92
32.388,-123.93
32.402,-123.94
32.416,-123.95
32.431,-123.96
32.445,-123.97
32.459,-123.98
32.474,-123.99
32.488,-124
32.503,-124.01
32.517,-124.02
32.532,-124.03
32.547,-124.04
32.561,-124.05
32.576,-124.06
32.591,-124.07
32.605,-124.08
32.62,-124.09
32.635,-124.1
32.65,-124.11
32.665,-124.11
